prefecture_code,prefecture_name,horizon,best_params,best_val_loss,mae_norm,rmse_norm,n_trials,n_train_samples,n_val_samples,hpo_test_done
10,群馬県,1,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false, ""lr"": 0.001, ""batch_size"": 32}",0.0060742408067228,0.0150564508512616,0.0399421863257885,20,1984,496,True
10,群馬県,2,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.025035815,0.054446764,20,1984,496,True
10,群馬県,3,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 32, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.0298452526330947,0.0600706189870834,20,1984,496,True
10,群馬県,4,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.033660848,0.067127824,20,1984,496,True
11,埼玉県,1,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false, ""lr"": 0.001, ""batch_size"": 32}",0.0044667410435185,0.0171308424323797,0.0471152327954769,20,1984,496,True
11,埼玉県,2,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.020625602,0.054003477,20,1984,496,True
11,埼玉県,3,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.0274809040129184,0.0655966699123382,20,1984,496,True
11,埼玉県,4,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.039236527,0.07988878,20,1984,496,True
12,千葉県,1,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false, ""lr"": 0.001, ""batch_size"": 32}",0.0016862282040341,0.0171019975095987,0.048538401722908,20,1984,496,True
12,千葉県,2,"{""d_model"": 128, ""n_heads"": 16, ""patch_len"": 8, ""dropout"": 0.15000000000000002, ""lr"": 0.003800545634591302, ""batch_size"": 16, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",0.0027483448950806,0.0242932364344596,0.0626113042235374,20,1587,397,True
12,千葉県,3,"{""d_model"": 256, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.0443147160112857,0.0860426872968673,20,1984,496,True
12,千葉県,4,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 32, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.042962734,0.08819643,20,1984,496,True
13,東京都,1,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false, ""lr"": 0.001, ""batch_size"": 32}",0.0017537011472966,0.0180272441357374,0.0451340749859809,20,1984,496,True
13,東京都,2,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.033171535,0.06202135,20,1984,496,True
13,東京都,3,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.0294712204486131,0.0684109553694725,20,1984,496,True
13,東京都,4,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.0329948,0.07261351,20,1984,496,True
